17578 1783934579.866769 exit(0)         = ?
17578 1783934579.867021 +++ exited with 0 +++
17577 1783934579.867081 exit(0)         = ?
17577 1783934579.867179 +++ exited with 0 +++
17579 1783934579.868263 exit(0)         = ?
17576 1783934579.868459 exit(0 <unfinished ...>
17579 1783934579.868618 +++ exited with 0 +++
17576 1783934579.868623 <... exit resumed>) = ?
17576 1783934579.868796 +++ exited with 0 +++
17593 1783934579.871626 newfstatat(AT_FDCWD, "/data", {st_mode=S_IFDIR|0771, st_size=4096, ...}, AT_SYMLINK_NOFOLLOW) = 0
17572 1783934593.802330 recvfrom(59, "nysv\0\0\0\0\0\0\0\0\0\0\0\0\365\317\234\212(\1\0\0+(\1\0\0\0\0\0", 3200, MSG_DONTWAIT, NULL, NULL) = 32
17572 1783934593.802729 recvfrom(59, 0x7fe216cc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.805979 recvfrom(90, 0x75d352a420, 2272, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.806311 recvfrom(59, 0x7fe216bc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.815869 recvfrom(59, "nysv\0\0\0\0\0\0\0\0\0\0\0\0\37 \233\213(\1\0\0,(\1\0\0\0\0\0", 3200, MSG_DONTWAIT, NULL, NULL) = 32
17572 1783934593.816186 recvfrom(59, 0x7fe216cc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.816495 recvfrom(90, 0x75d352a420, 2272, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.817140 recvfrom(59, 0x7fe216bc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.832787 recvfrom(59, "nysv\0\0\0\0\0\0\0\0\0\0\0\0Ip\231\214(\1\0\0-(\1\0\0\0\0\0", 3200, MSG_DONTWAIT, NULL, NULL) = 32
17572 1783934593.833109 recvfrom(59, 0x7fe216cc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.833550 recvfrom(90, 0x75d352a420, 2272, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.835236 recvfrom(59, 0x7fe216bc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
