experiment,module,representation,method,detector,split,seed,raw_auc,auc_floor,direction,ci_low,ci_high,ci_type,clears_size_floor,clears_ocpool,is_headline,is_superseded,artifact_path,summary_path,trace_flag
run3,androct,T22,trivial_floor,distinct_active_categories,splitA_GAE,42,,0.516543596161869,benign_higher_score,0.5007217355027117,0.5698903838130995,score_bootstrap,False,False,False,False,abrg/output/androct_2017/run3/floors.json,abrg/output/androct_2017/run3/SUMMARY.md,
run3,androct,T22,trivial_floor,active_nodes,splitA_GAE,42,,0.5164080100125157,benign_higher_score,0.5006854922820191,0.5703741134751772,score_bootstrap,False,False,False,False,abrg/output/androct_2017/run3/floors.json,abrg/output/androct_2017/run3/SUMMARY.md,
run3,androct,T22,trivial_floor,edge_count,splitA_GAE,42,,0.5266916979557781,malware_higher_score,0.5013408948685857,0.5780846370463079,score_bootstrap,False,False,False,False,abrg/output/androct_2017/run3/floors.json,abrg/output/androct_2017/run3/SUMMARY.md,
run3,androct,T22,trivial_floor,graph_density,splitA_GAE,42,,0.5266916979557781,malware_higher_score,0.5013408948685857,0.5780846370463079,score_bootstrap,False,False,False,False,abrg/output/androct_2017/run3/floors.json,abrg/output/androct_2017/run3/SUMMARY.md,
apigraph,apigraph,API_1000,trivial_floor,in_vocab_event_count,splitA_GAE,42,,0.6476866916979558,malware_higher_score,0.5800329578639967,0.7099043596161868,none,False,False,False,False,abrg/output/androct_2017/apigraph/floors/K1000_floors.json,abrg/output/androct_2017/apigraph/SUMMARY.md,
apigraph,apigraph,API_1000,trivial_floor,total_event_count,splitA_GAE,42,,0.6912202753441802,malware_higher_score,0.629438829787234,0.7478380267000416,none,False,False,False,False,abrg/output/androct_2017/apigraph/floors/K1000_floors.json,abrg/output/androct_2017/apigraph/SUMMARY.md,
apigraph,apigraph,API_1000,trivial_floor,active_nodes,splitA_GAE,42,,0.605517313308302,benign_higher_score,0.5567264810179392,0.6573098664997914,none,False,False,False,False,abrg/output/androct_2017/apigraph/floors/K1000_floors.json,abrg/output/androct_2017/apigraph/SUMMARY.md,
apigraph,apigraph,API_1000,trivial_floor,edge_count,splitA_GAE,42,,0.5126095118898624,benign_higher_score,0.5008424593241552,0.565467824363788,none,False,False,False,False,abrg/output/androct_2017/apigraph/floors/K1000_floors.json,abrg/output/androct_2017/apigraph/SUMMARY.md,
apigraph,apigraph,API_1000,trivial_floor,graph_density,splitA_GAE,42,,0.5126095118898624,benign_higher_score,0.5008424593241552,0.565467824363788,none,False,False,False,False,abrg/output/androct_2017/apigraph/floors/K1000_floors.json,abrg/output/androct_2017/apigraph/SUMMARY.md,
invgraph,invgraph,invocation_V2,trivial_floor,edge_count,splitA_GAE,42,,0.7337922403003755,benign_higher_score,0.6838990926157696,0.7863273884021693,none,True,False,False,False,abrg/output/androct_2017/invgraph/floors/V2_invocation_floors.json,abrg/output/androct_2017/invgraph/SUMMARY.md,
invgraph,invgraph,invocation_V2,trivial_floor,graph_density,splitA_GAE,42,,0.7337922403003755,benign_higher_score,0.6838990926157696,0.7863273884021693,none,True,False,False,False,abrg/output/androct_2017/invgraph/floors/V2_invocation_floors.json,abrg/output/androct_2017/invgraph/SUMMARY.md,
invgraph,invgraph,invocation_V2,trivial_floor,active_nodes,splitA_GAE,42,,0.5658740091781393,benign_higher_score,0.5178832394659992,0.6192361806424697,none,False,False,False,False,abrg/output/androct_2017/invgraph/floors/V2_invocation_floors.json,abrg/output/androct_2017/invgraph/SUMMARY.md,
invgraph,invgraph,invocation_V2,trivial_floor,in_vocab_events,splitA_GAE,42,,0.6589173967459323,malware_higher_score,0.58909579682937,0.7221031497705466,none,False,False,False,False,abrg/output/androct_2017/invgraph/floors/V2_invocation_floors.json,abrg/output/androct_2017/invgraph/SUMMARY.md,
ocdev,ocdev,D0_trained_t22,benign_only,centroid_euclidean,splitA_GAE,42,0.7616687526074258,0.7616687526074258,malware_higher_score,0.7167348769294952,0.8069558823529412,score_bootstrap,True,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D0__none__centroid_euclidean__splitA__foldNA.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,D2_trained_t22,benign_only,centroid_euclidean,splitA_GAE,42,0.5512682519816438,0.5512682519816438,malware_higher_score,0.5053182102628286,0.6027573007926574,score_bootstrap,False,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D2__none__centroid_euclidean__splitA__foldNA.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,D3_trained_t22,benign_only,centroid_euclidean,splitA_GAE,42,0.5894993742177722,0.5894993742177722,malware_higher_score,0.5392905715477682,0.6372980809345016,score_bootstrap,False,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D3__none__centroid_euclidean__splitA__foldNA.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,D4_trained_t22,benign_only,centroid_euclidean,splitA_GAE,42,0.7445974134334584,0.7445974134334584,malware_higher_score,0.6898936170212766,0.7962596996245307,score_bootstrap,True,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D4__none__centroid_euclidean__splitA__foldNA.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,D5_trained_t22,benign_only,centroid_euclidean,splitA_GAE,42,0.7022069253233207,0.7022069253233207,malware_higher_score,0.6479254276178557,0.7553314559866499,score_bootstrap,False,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/splitA_trained/trained__D5__none__centroid_euclidean__splitA__foldNA.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,D0_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,42,0.7616687526074258,0.7616687526074258,malware_higher_score,0.7482773710193298,0.7736663051036018,score_bootstrap,True,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,D1_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,42,0.5088902795160618,0.5088902795160618,malware_higher_score,0.5005292240300375,0.52492387359199,score_bootstrap,False,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,D2_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,42,0.5721068001668752,0.5721068001668752,malware_higher_score,0.5563299784452788,0.5868137776387151,score_bootstrap,False,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,D3_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,42,0.5394910304547351,0.5394910304547351,malware_higher_score,0.5222327075511055,0.5558527360589626,score_bootstrap,False,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,D4_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,42,0.5178431372549019,0.5178431372549019,malware_higher_score,0.5019171186204978,0.5348433736615215,score_bootstrap,False,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,D5_trained_t22,benign_only,centroid_euclidean_pooled_oof,splitB_ward30,42,0.5677722152690863,0.5677722152690863,malware_higher_score,0.5521877033792241,0.5826978201919065,score_bootstrap,False,False,False,False,abrg/output/androct_2017/ocdev/partA_profiles/partA_summary.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
ocdev,ocdev,RAW_full,raw_input_control,centroid_euclidean,splitA_GAE,42,0.7768919482686691,0.7768919482686691,malware_higher_score,0.7259785148101794,0.8256167083854818,score_bootstrap,True,True,False,False,abrg/output/androct_2017/ocdev/controls/raw_tensor/raw__RAW_full__none__centroid_euclidean__splitA__foldNA.json,abrg/output/androct_2017/ocdev/SUMMARY.md,
devread,devread,D0_trained_t22,supervised,HGB,splitA_stratified,42,0.7939820609094702,0.7939820609094702,malware_higher_score,0.7508283792240299,0.8391525865665416,score_bootstrap,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
