package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
barilyuk.batterytemperature,75dd71ae0f0a_llm_s2,3,train,4,10,696,0.27988117933273315
cityfreqs.com.pilfershushjammer,c7c04de887f3_llm_s3,1,train,3,1,29,0.2833095192909241
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s1,1,train,5,14,388,0.2998726963996887
ac.robinson.mediaphone,497e019dc8a1_llm_s2,2,train,4,9,760,0.31097909808158875
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s2,4,train,6,25,1329,0.33585742115974426
ca.chancehorizon.paseo,e271584cf787_llm_s2,3,train,5,14,109,0.34985145926475525
barilyuk.batterytemperature,75dd71ae0f0a_llm_s3,0,train,4,10,703,0.34985148906707764
barilyuk.batterytemperature,75dd71ae0f0a_llm_s1,6,train,4,10,692,0.34985148906707764
app.organicmaps,4862fbeed029_llm_s1,0,test,3,4,145,0.34985148906707764
app.fedilab.nitterizeme,bcf251559ee4_llm_s1,0,train,2,2,199,0.34985148906707764
cat.jordihernandez.cinecat,24e9101cdb34_llm_s3,2,train,2,2,42,0.34985148906707764
app.fedilab.nitterizeme,bcf251559ee4_llm_s2,0,train,2,2,228,0.34985148906707764
app.fedilab.nitterizeme,bcf251559ee4_llm_s2,1,train,2,2,228,0.34985148906707764
app.fedilab.nitterizeme,bcf251559ee4_llm_s3,1,train,2,2,168,0.34985148906707764
app.fedilab.castlab,5719f3b34f71_llm_s1,2,train,4,4,69,0.34985148906707764
app.fedilab.nitterizemelite,30ae40611f5f_llm_s3,0,train,2,2,199,0.34985148906707764
au.com.wallaceit.reddinator,c3751de467a1_llm_s3,0,train,3,4,47,0.34985148906707764
au.com.wallaceit.reddinator,c3751de467a1_llm_s2,0,train,2,2,46,0.34985148906707764
bluepie.ad_silence,c134927f92ec_llm_s1,0,test,2,2,15,0.34985148906707764
cat.jordihernandez.cinecat,24e9101cdb34_llm_s2,0,train,2,2,42,0.34985148906707764
ca.rmen.android.scrumchatter,7603ad0544fe_llm_s2,0,train,3,6,187,0.34985148906707764
bluepie.ad_silence,c134927f92ec_llm_s2,0,test,2,2,17,0.34985148906707764
at.linuxtage.Eventfahrplan,84bca8b5903c_llm_s3,2,train,3,6,49,0.34985148906707764
cf.playhi.freezeyou,86b80fef253c_llm_s3,4,train,3,4,267,0.34985148906707764
be.mygod.vpnhotspot_foss,a72518537ed0_llm_s1,6,train,4,10,1674,0.34985148906707764
cl.coders.faketraveler,fb32bae7e64d_llm_s1,0,train,4,10,558,0.34985148906707764
ca.rmen.android.scrumchatter,7603ad0544fe_llm_s3,4,train,3,6,186,0.34985148906707764
be.mygod.vpnhotspot_foss,a72518537ed0_llm_s1,7,train,4,10,1674,0.34985148906707764
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.34985148906707764
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.34985148906707764
be.mygod.vpnhotspot_foss,a72518537ed0_llm_s1,3,train,4,10,1674,0.34985148906707764
cf.playhi.freezeyou,86b80fef253c_llm_s3,2,train,3,4,267,0.34985148906707764
ca.rmen.android.scrumchatter,7603ad0544fe_llm_s3,0,train,3,6,186,0.34985148906707764
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.34985148906707764
be.mygod.vpnhotspot_foss,a72518537ed0_llm_s2,4,train,4,10,1691,0.34985148906707764
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,test,2,2,498,0.34985148906707764
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.34985148906707764
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.34985148906707764
InfinityLoop1309.NewPipeEnhanced,b77ab89fd70e_llm_s1,2,train,5,14,388,0.3498515188694
au.com.wallaceit.reddinator,c3751de467a1_llm_s2,1,train,2,2,46,0.3498516082763672
at.mikenet.serbianlatintocyrillic,4b633ea030db_llm_s3,1,train,2,2,34,0.349852591753006
ch.mydoli.focal,bbf18ac3b134_llm_s2,0,train,2,2,59,0.3498542010784149
bluepie.ad_silence,c134927f92ec_llm_s1,1,test,2,2,15,0.3498552143573761
be.digitalia.fosdem,37b1a8bb28b9_llm_s2,2,train,2,2,56,0.34986385703086853
app.prav.client,e4a6cdb972a2_llm_s3,2,train,3,2,254,0.34986498951911926
app.fedilab.nitterizeme,bcf251559ee4_llm_s1,1,train,2,2,199,0.3500062823295593
