package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,6,train,2,2,97,0.6961411833763123
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,5,train,2,2,97,0.6961411833763123
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,0,train,2,2,149,0.6961411833763123
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,4,train,2,2,97,0.6961411833763123
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,1,train,2,2,97,0.6961411833763123
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,0,train,2,2,97,0.6961411833763123
be.mygod.vpnhotspot_foss,a72518537ed0_llm_s1,8,train,3,6,1925,0.6961411833763123
com.absinthe.libchecker,ac1ff15c10bf_llm_s1,0,train,2,2,305,0.6961411833763123
com.absinthe.libchecker,ac1ff15c10bf_llm_s1,1,train,2,2,305,0.6961411833763123
com.absinthe.libchecker,ac1ff15c10bf_llm_s1,2,train,2,2,305,0.6961411833763123
com.absinthe.libchecker,ac1ff15c10bf_llm_s1,3,train,2,2,305,0.6961411833763123
co.ec.cnsyn.codecatcher,166d4cb9b0f7_llm_s1,10,train,2,2,694,0.6961411833763123
com.addismaptransit.app,4d62aecc9873_llm_s1,3,test,2,2,207,0.6961411833763123
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,2,train,2,2,149,0.6961411833763123
app.varlorg.unote,66398ab95c74_llm_s1,6,test,2,2,1803,0.6961411833763123
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,0,train,2,2,67,0.6961411833763123
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,6,train,2,2,500,0.6961411833763123
aq.metallists.loudbang,714e56ae2182_llm_s1,0,train,3,4,22,0.6961411833763123
aq.metallists.loudbang,714e56ae2182_llm_s1,2,train,3,4,22,0.6961411833763123
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,5,train,2,2,500,0.6961411833763123
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,3,train,2,2,500,0.6961411833763123
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,2,train,2,2,500,0.6961411833763123
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,3,train,2,2,149,0.6961411833763123
amirz.rootless.nexuslauncher,7fa44d560dc4_llm_s1,0,train,2,2,430,0.6961411833763123
amirz.rootless.nexuslauncher,7fa44d560dc4_llm_s1,1,train,2,2,430,0.6961411833763123
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,3,train,2,2,67,0.6961411833763123
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,1,train,2,2,67,0.6961411833763123
amirz.rootless.nexuslauncher,7fa44d560dc4_llm_s1,5,train,2,2,430,0.6961411833763123
amirz.rootless.nexuslauncher,7fa44d560dc4_llm_s1,4,train,2,2,430,0.6961411833763123
amirz.rootless.nexuslauncher,7fa44d560dc4_llm_s1,2,train,2,2,430,0.6961411833763123
app.fedilab.mobilizon,9b7a3d5efee6_llm_s1,3,train,5,14,139,2.9650719165802
app.fedilab.mobilizon,9b7a3d5efee6_llm_s1,2,train,5,14,139,2.9673876762390137
ch.bailu.aat,f10bae02e75b_llm_s1,2,train,5,10,800,3.7323336601257324
ch.bailu.aat,f10bae02e75b_llm_s1,4,train,5,10,800,3.801947832107544
ch.bailu.aat,f10bae02e75b_llm_s1,5,train,5,10,800,3.941176176071167
ac.robinson.mediaphone,497e019dc8a1_llm_s1,0,train,4,9,3065,4.224386215209961
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,5,test,4,8,98,4.752894401550293
cc.echonet.coolmicapp,1266fdc2dbbf_llm_s1,6,train,5,7,2868,5.331905841827393
cc.echonet.coolmicapp,1266fdc2dbbf_llm_s1,3,train,5,7,2868,5.43135404586792
com.abhijitvalluri.android.fitnotifications,6c59c1411181_llm_s1,4,test,5,6,100,5.994941234588623
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s1,5,train,3,5,2137,7.325439453125
ch.bailu.aat,f10bae02e75b_llm_s1,7,train,5,10,800,7.325439453125
cf.playhi.freezeyou,86b80fef253c_llm_s1,8,train,4,5,300,7.331474304199219
at.jclehner.rxdroid,e8b32f0b1998_llm_s1,5,test,3,4,607,8.984806060791016
cc.echonet.coolmicapp,1266fdc2dbbf_llm_s1,7,train,5,7,2868,10.067120552062988
